name,price,type,efficiency,wattage,modular,color,form_factor,pcie_6plus2_connectors
MSI MAG A750GL PCIE5,109.99,ATX,gold,750,Full,Black,ATX,4
MSI MAG A850GL PCIE5,121.99,ATX,gold,850,Full,Black,ATX,4
MSI MAG A650BN,74.98,ATX,bronze,650,false,Black,ATX,4
Corsair RM1000e (2023),179.99,ATX,gold,1000,Full,Black,ATX,4
Corsair RM750e (2025),99.99,ATX,,750,Full,Black,ATX,4
Corsair RM850e (2025),119.99,ATX,,850,Full,Black,ATX,4
MSI MAG A550BN,54.99,ATX,bronze,550,false,Black,ATX,4
Corsair RM850x (2024),144.99,ATX,,850,Full,Black,ATX,4
Corsair SF1000 (2024),239.99,SFX,platinum,1000,Full,Black,SFX,4
MSI MAG A650GL,129.94,ATX,gold,650,Full,Black,ATX,4
Cooler Master MWE Gold 850 - V2,89.99,ATX,gold,850,Full,Black,ATX,4
Thermaltake Smart,39.95,ATX,plus,500,false,,ATX,4
Corsair SF750 (2024),179.99,SFX,platinum,750,Full,Black,SFX,4
Montech CENTURY II,89.9,ATX,gold,850,Full,Black,ATX,4
Corsair RM1000x (2024),209.95,ATX,,1000,Full,Black,ATX,4
Corsair CX (2023),69.98,ATX,bronze,650,false,Black,ATX,4
Asus ROG THOR 1600T Gaming,986.98,ATX,titanium,1600,Full,Silver / Black,ATX,4
be quiet! Pure Power 12 M,124.9,ATX,gold,850,Full,Black,ATX,4
MSI MAG A850GL PCIE5,132.99,ATX,gold,850,Full,White,ATX,4
Corsair RM850,124.99,ATX,gold,850,Full,White / Black,ATX,4
Thermaltake Smart,44.99,ATX,plus,600,false,,ATX,4
Corsair SF850 (2024),194.99,SFX,platinum,850,Full,Black,SFX,4
Corsair RM1000e (2025),159.99,ATX,,1000,Full,Black,ATX,4
Corsair RM650e (2025),104.99,ATX,,650,Full,Black,ATX,4
Gigabyte UD750GM,,ATX,gold,750,Full,Black,ATX,4
be quiet! Pure Power 12 M,98.9,ATX,gold,750,Full,Black,ATX,4
Thermaltake Toughpower GX2,69.98,ATX,gold,600,false,Black,ATX,4
Lian Li EDGE,182.28,ATX,platinum,1000,Full,White,ATX,4
Apevia Galaxy,54.99,ATX,gold,650,Semi,Black,ATX,4
Thermaltake Toughpower GF1 (2024),103.99,ATX,gold,850,Full,Black,ATX,4
MSI MAG A750BN PCIE5,74.98,ATX,bronze,750,false,Black,ATX,4
Lian Li SP,127.99,SFX,gold,750,Full,Black,SFX,4
Corsair RM750e (2023),,ATX,gold,750,Full,Black,ATX,4
Cooler Master V850 SFX GOLD,149.99,SFX,gold,850,Full,Black,SFX,4
Corsair AX1600i,609.99,ATX,titanium,1600,Full,,ATX,4
Corsair CX (2023),64.98,ATX,bronze,550,false,Black,ATX,4
be quiet! Dark Power 13,267.36,ATX,titanium,1000,Full,Black,ATX,4
Corsair RM750e (2025),109.99,ATX,,750,Full,White,ATX,4
Corsair HX1500i (2023),258.99,ATX,platinum,1500,Full,Black,ATX,4
Corsair CX650M (2021),74.98,ATX,bronze,650,Semi,Black,ATX,4
Corsair RM750x (2024),119.99,ATX,,750,Full,Black,ATX,4
SAMA GT,69.99,ATX,gold,650,Full,Black,ATX,4
Asus ROG STRIX 1200P Gaming,254.99,ATX,platinum,1200,Full,Black / Silver,ATX,4
Corsair RM750,119.95,ATX,gold,750,Full,White / Black,ATX,4
Montech CENTURY II,109.9,ATX,gold,1050,Full,Black,ATX,4
Corsair RM850e (2023),189.99,ATX,gold,850,Full,Black,ATX,4
Lian Li SP750,115.99,SFX,gold,750,Full,White,SFX,4
Corsair HX1200i,219.99,ATX,platinum,1200,Full,Black,ATX,4
Corsair RM850x (2021),198.98,ATX,gold,850,Full,Black,ATX,4
Corsair RM1000e (2025),199.99,ATX,,1000,Full,White,ATX,4
Gigabyte P650G,69.99,ATX,gold,650,false,Black,ATX,4
Apevia Prestige,51.99,ATX,gold,600,false,Black,ATX,4
Thermaltake Smart,54.99,ATX,plus,700,false,,ATX,4
Lian Li EDGE,159.99,ATX,platinum,1000,Full,Black,ATX,4
be quiet! Pure Power 12 M,139.9,ATX,gold,1000,Full,Black,ATX,4
Asus TUF Gaming 1000G,166.92,ATX,gold,1000,Full,Black,ATX,4
NZXT C850 (2024),124.99,ATX,gold,850,Full,Black,ATX,4
Segotep GN,59.99,ATX,gold,650,false,Black,ATX,4
Lian Li EDGE,227.44,ATX,platinum,1300,Full,White,ATX,4
Corsair RM750x SHIFT,154.99,ATX,gold,750,Full / Side,Black,ATX,4
Corsair CX (2023),89.99,ATX,bronze,750,false,Black,ATX,4
Gigabyte UD850GM,100.0,ATX,gold,850,Full,Black,ATX,4
SeaSonic Focus GX V4 ATX 3 (2024),159.99,ATX,gold,850,Full,Black,ATX,4
Corsair CX750M (2021),99.99,ATX,bronze,750,Semi,Black,ATX,4
Lian Li EDGE GOLD,120.99,ATX,gold,850,Full,White,ATX,4
Apevia CAPTAIN,31.99,ATX,,550,false,Black,ATX,4
SAMA GT,64.99,ATX,gold,650,Full,White,ATX,4
MSI A1000G PCIE5,191.0,ATX,gold,1000,Full,Black,ATX,4
Silverstone HELA,540.99,ATX,,2050,Full,Black / White,ATX,4
EVGA SuperNOVA 1000 GT,,ATX,gold,1000,Full,Black,ATX,4
MSI MPG A850G PCIE5,164.99,ATX,gold,850,Full,Black,ATX,4
Lian Li EDGE,205.99,ATX,platinum,1300,Full,Black,ATX,4
Asus TUF Gaming 850G,133.96,ATX,gold,850,Full,Black,ATX,4
Cooler Master MWE GOLD 750 V2 FULL MODULAR,103.99,ATX,gold,750,Full,Black,ATX,4
Asus ROG LOKI,309.99,SFX,titanium,1200,Full,Black / White,SFX,4
be quiet! Dark Power Pro 13,449.9,ATX,titanium,1600,Full,Black,ATX,4
MSI MAG A650BE,69.98,ATX,bronze,650,Semi,Black,ATX,4
Corsair RM850e (2025),129.99,ATX,,850,Full,White,ATX,4
SeaSonic Focus GX V4 ATX 3 (2024),129.9,ATX,gold,750,Full,Black,ATX,4
Lian Li EDGE GOLD,109.99,ATX,gold,850,Full,Black,ATX,4
Cooler Master V750 SFX GOLD,139.99,SFX,gold,750,Full,Black,SFX,4
Apevia Galaxy,69.98,ATX,gold,850,Semi,Black,ATX,4
Thermaltake Toughpower GF3 TT Premium,,ATX,gold,750,Full,Black,ATX,4
SAMA GT,74.99,ATX,gold,750,Full,White,ATX,4
MSI MAG A1000GL PCIE5,179.69,ATX,gold,1000,Full,Black,ATX,4
EVGA 400 N1,46.25,ATX,,400,false,,ATX,4
Gigabyte P750GM,,ATX,gold,750,Full,Black,ATX,4
Vetroo 50315153244479,89.99,ATX,gold,850,Full,Black,ATX,4
Thermaltake Toughpower GF A3 Snow,129.99,ATX,gold,850,Full,White,ATX,4
Corsair HX1500i (2025),348.99,ATX,platinum,1500,Full,Black,ATX,4
NZXT C1000 (2024),164.99,ATX,gold,1000,Full,Black,ATX,4
SeaSonic Focus GX V4 ATX 3 (2024),186.98,ATX,gold,1000,Full,Black,ATX,4
ADATA XPG Core Reactor II,,ATX,gold,650,Full,Black,ATX,4
Vetroo 50315153277247,89.99,ATX,gold,850,Full,White,ATX,4
